Time;Value;Filtered
24:05;-146,4444444;-73,22222222
24:06;-61,44444444;-61,82697783
24:06;-10,44444444;-18,31841582
24:07;-74,44444444;-71,52883425
24:07;10,55555556;7,022342179
24:08;-46,44444444;-44,84255983
24:08;6,555555556;4,292916253
24:09;-130,4444444;-124,2095389
24:10;58,55555556;55,13008285
24:10;43,55555556;43,71256833
24:11;26,55555556;29,17357169
24:11;-19,44444444;-13,09993558
24:12;-72,44444444;-69,28427583
24:12;-53,44444444;-54,09307331
24:13;76,55555556;60,29669025
24:14;56,55555556;56,63409891
24:14;-67,44444444;-31,41743225
24:15;-39,44444444;-39,22708846
24:15;127,5555556;94,8324442
24:16;362741,5556;356198,8467
24:16;370434,5556;370434,4556
24:17;389926,5556;389923,1336
24:17;388831,5556;388831,6955
24:18;376194,5556;376223,3696
24:19;277330,5556;277350,1564
24:19;360281,5556;360279,4587
24:20;403382,5556;403381,2562
24:20;295938,5556;295944,7867
24:21;386577,5556;386575,4467
24:21;381285,5556;381285,7015
24:22;373651,5556;373655,1601
24:23;379252,5556;379250,7229
24:23;383726,5556;383724,5576
24:24;382993,5556;382993,9636
24:25;383517,5556;383515,7761
24:25;383466,5556;383466,7891
24:26;383135,5556;383150,8975
24:26;383698,5556;383694,2873
24:27;383180,5556;383182,8976
24:27;383612,5556;383610,4754
24:28;383438,5556;383439,5492
24:29;383458,5556;383458,2854
24:29;383690,5556;383666,0553
24:30;383433,5556;383436,2908
24:30;383680,5556;383677,9541
24:31;383389,5556;383392,4789
24:31;383683,5556;383681,0502
24:32;383374,5556;383377,1658
24:32;383403,5556;383403,342
24:33;383675,5556;383653,7127
24:34;383624,5556;383624,8412
24:34;383544,5556;383550,4856
24:35;383506,5556;383507,9427
24:35;383620,5556;383614,6241
24:36;383373,5556;383378,9583
24:36;383509,5556;383508,1986
24:37;383573,5556;383572,3382
24:38;383590,5556;383589,8964
24:38;383604,5556;383602,9244
24:39;383690,5556;383678,213
24:39;383476,5556;383482,8624
24:40;383640,5556;383638,5871
24:40;383644,5556;383644,4627
24:41;383460,5556;383502,9823
24:42;383502,5556;383502,5629
24:42;383463,5556;383481,6929
24:43;383545,5556;383539,0937
24:43;383420,5556;383425,324
24:44;383642,5556;383637,9791
24:44;383679,5556;383679,0779
24:45;383614,5556;383618,0569
24:45;383628,5556;383628,1572
24:46;383623,5556;383624,3222
24:47;383757,5556;383717,9897
24:47;383619,5556;383622,0686
24:48;383777,5556;383773,7014
24:48;383631,5556;383633,8252
24:49;383739,5556;383737,7306
24:49;383669,5556;383671,1212
24:50;383738,5556;383736,1994
24:51;383728,5556;383728,8286
24:51;383784,5556;383773,2119
24:52;383710,5556;383713,7605
24:52;383704,5556;383704,9133
24:53;383599,5556;383618,7115
24:53;383662,5556;383661,3477
24:54;383661,5556;383661,5446
24:55;383711,5556;383686,8736
24:55;383656,5556;383659,1606
24:56;383770,5556;383761,9862
24:56;383587,5556;383591,6071
24:57;383923,5556;383918,8221
24:57;383618,5556;383620,8154
24:58;383754,5556;383753,452
24:58;383827,5556;383826,2094
24:59;383734,5556;383737,5041
25:00;383647,5556;383649,9574
